method,source_index,image_id,snr_db,seed,N,E,diagnostic_only,header_ok,normalized_latent,psnr_db,lpips_alex,dino_cosine
actual_RX_zero_noise,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2001,4084,8168,True,True,0.36617782711982727,22.334697723388672,0.0978555828332901,0.8252297639846802
oracle_TX_AWGN,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2001,4084,8168,True,True,0.4164755940437317,22.077869415283203,0.10195611417293549,0.8364310264587402
oracle_TX_zero_noise,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2001,4084,8168,True,True,0.36617782711982727,22.334697723388672,0.0978555902838707,0.8252297639846802
Dc_F_representation_reference,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2001,not_a_wireless_method,not_a_wireless_method,True,True,0.0,24.301830291748047,0.051637545228004456,0.9091372489929199
actual_RX_AWGN,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2002,4084,8168,False,True,0.4181126356124878,21.942703247070312,0.10593294352293015,0.8056244254112244
actual_RX_zero_noise,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2002,4084,8168,True,True,0.36617782711982727,22.334697723388672,0.0978555828332901,0.8252297639846802
oracle_TX_AWGN,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2002,4084,8168,True,True,0.4181126356124878,21.942703247070312,0.10593295097351074,0.8056244254112244
oracle_TX_zero_noise,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2002,4084,8168,True,True,0.36617782711982727,22.334697723388672,0.0978555828332901,0.8252297639846802
Dc_F_representation_reference,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2002,not_a_wireless_method,not_a_wireless_method,True,True,0.0,24.301830291748047,0.051637545228004456,0.9091372489929199
actual_RX_AWGN,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2003,4084,8168,False,True,0.41869473457336426,22.09090805053711,0.10064420104026794,0.8080096244812012
actual_RX_zero_noise,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2003,4084,8168,True,True,0.36617782711982727,22.334697723388672,0.0978555902838707,0.8252297639846802
oracle_TX_AWGN,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2003,4084,8168,True,True,0.41869473457336426,22.09090805053711,0.10064419358968735,0.8080096244812012
oracle_TX_zero_noise,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2003,4084,8168,True,True,0.36617782711982727,22.334697723388672,0.0978555828332901,0.8252297639846802
Dc_F_representation_reference,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2003,not_a_wireless_method,not_a_wireless_method,True,True,0.0,24.301830291748047,0.051637545228004456,0.9091372489929199
actual_RX_AWGN,1,n01601694/ILSVRC2012_val_00021656_n01601694,7.0,2001,4084,8168,False,True,0.39584556221961975,22.22334098815918,0.09846124798059464,0.8357523083686829
actual_RX_zero_noise,1,n01601694/ILSVRC2012_val_00021656_n01601694,7.0,2001,4084,8168,True,True,0.36455708742141724,22.362937927246094,0.09507455676794052,0.8290539979934692
oracle_TX_AWGN,1,n01601694/ILSVRC2012_val_00021656_n01601694,7.0,2001,4084,8168,True,True,0.39584556221961975,22.22334098815918,0.09846124798059464,0.8357523083686829
oracle_TX_zero_noise,1,n01601694/ILSVRC2012_val_00021656_n01601694,7.0,2001,4084,8168,True,True,0.36455708742141724,22.362937927246094,0.09507456421852112,0.8290539979934692
Dc_F_representation_reference,1,n01601694/ILSVRC2012_val_00021656_n01601694,7.0,2001,not_a_wireless_method,not_a_wireless_method,True,True,0.0,24.301830291748047,0.051637545228004456,0.9091372489929199
actual_RX_AWGN,1,n01601694/ILSVRC2012_val_00021656_n01601694,7.0,2002,4084,8168,False,True,0.3962370753288269,22.0917911529541,0.10004964470863342,0.8124046325683594
