region,arm,control,metric,difference,ci_low,ci_high,source_images,involves_expected_reference
snr_19,lpips_0p01__conditioned,expected_mix_12,mse,-0.0006397204071680473,-0.0008688962462761766,-0.00042322652834170607,100,True
snr_19,lpips_0p01__conditioned,lpips_0p01__unconditioned,psnr_db,0.3378141816457113,0.3048157435258231,0.37150587018330866,100,False
snr_19,lpips_0p01__conditioned,lpips_0p01__unconditioned,lpips,0.0053064078837633125,0.0036383507599433264,0.007102404699039954,100,False
snr_19,lpips_0p01__conditioned,lpips_0p01__unconditioned,dino,-0.003921650052070612,-0.009979126070936505,0.00185756647586823,100,False
snr_19,lpips_0p01__conditioned,lpips_0p01__unconditioned,mse,-0.0006523272653187935,-0.000770639448892325,-0.0005437086868090166,100,False
snr_19,lpips_0p01__conditioned,lpips_0p03__unconditioned,psnr_db,0.40149555206298826,0.36557524331410735,0.4382078030904137,100,False
snr_19,lpips_0p01__conditioned,lpips_0p03__unconditioned,lpips,0.010371218360960482,0.008623920076526702,0.01223860329358528,100,False
snr_19,lpips_0p01__conditioned,lpips_0p03__unconditioned,dino,-0.005426947673161828,-0.011791211148103076,0.0008115518043438542,100,False
snr_19,lpips_0p01__conditioned,lpips_0p03__unconditioned,mse,-0.0007643967502129574,-0.0008962184020783754,-0.0006451869653489364,100,False
snr_19,lpips_0p01__conditioned,lpips_0p1__unconditioned,psnr_db,0.6430586433410644,0.5978028031190235,0.6879923452536261,100,False
snr_19,lpips_0p01__conditioned,lpips_0p1__unconditioned,lpips,0.01393978295226892,0.011747913588148851,0.016246086669464907,100,False
snr_19,lpips_0p01__conditioned,lpips_0p1__unconditioned,dino,-0.004816424051920572,-0.01210591257115205,0.002283108964562415,100,False
snr_19,lpips_0p01__conditioned,lpips_0p1__unconditioned,mse,-0.0011955734939935307,-0.0013775295652352115,-0.0010311081344940853,100,False
snr_19,lpips_0p01__conditioned,perceptual_deepjscc,psnr_db,-4.579264949162801,-4.764235601027807,-4.392667416095734,100,False
snr_19,lpips_0p01__conditioned,perceptual_deepjscc,lpips,0.05795620614041885,0.0492811678185438,0.06635742083471269,100,False
snr_19,lpips_0p01__conditioned,perceptual_deepjscc,dino,0.0441866730650266,0.020575212630132837,0.06957506164908407,100,False
snr_19,lpips_0p01__conditioned,perceptual_deepjscc,mse,0.004829071846243385,0.004226931697852801,0.005484219682801727,100,False
snr_19,lpips_0p01__conditioned,raw_adaptive,psnr_db,1.0602540874481199,0.9164528162479401,1.2110545234680175,100,False
snr_19,lpips_0p01__conditioned,raw_adaptive,lpips,0.05243178715929389,0.04789461265690626,0.05707405853737146,100,False
snr_19,lpips_0p01__conditioned,raw_adaptive,dino,-0.10690793017546334,-0.1208021445373694,-0.09348794461290041,100,False
snr_19,lpips_0p01__conditioned,raw_adaptive,mse,-0.002078365137806851,-0.002473103047808346,-0.0017209651510256608,100,False
snr_19,lpips_0p01__conditioned,raw_m7,psnr_db,4.202282629013061,3.921038744131723,4.48290110874176,100,False
