method,source_index,snr_db,psnr_db,lpips_alex,dino_cosine
arithmetic_N4084_m7_D0,1,13,19.626873016357422,0.177059143781662,0.6421431303024292
arithmetic_N4084_m7_D0,1,19,19.626873016357422,0.177059143781662,0.6421431303024292
arithmetic_N4084_m7_Dc,1,1,20.5515193939209,0.16255799432595572,0.6422007083892822
arithmetic_N4084_m7_Dc,1,4,20.5515193939209,0.16255799929300943,0.6422007083892822
arithmetic_N4084_m7_Dc,1,7,20.5515193939209,0.16255799929300943,0.6422007083892822
arithmetic_N4084_m7_Dc,1,13,20.5515193939209,0.16255799432595572,0.6422007083892822
arithmetic_N4084_m7_Dc,1,19,20.5515193939209,0.16255799432595572,0.6422007083892822
arithmetic_N4084_m8_D0,1,1,20.23249626159668,0.13815292716026306,0.7056215405464172
arithmetic_N4084_m8_D0,1,4,20.23249626159668,0.13815292716026306,0.7056215405464172
arithmetic_N4084_m8_D0,1,7,20.23249626159668,0.13815292716026306,0.7056215405464172
arithmetic_N4084_m8_D0,1,13,20.23249626159668,0.13815292716026306,0.7056215405464172
arithmetic_N4084_m8_D0,1,19,20.23249626159668,0.13815292716026306,0.7056215405464172
arithmetic_N4084_m8_Dc,1,1,21.200607299804688,0.12767630815505981,0.7305284738540649
arithmetic_N4084_m8_Dc,1,4,21.200607299804688,0.12767630815505981,0.7305284738540649
arithmetic_N4084_m8_Dc,1,7,21.200607299804688,0.12767630815505981,0.7305284738540649
arithmetic_N4084_m8_Dc,1,13,21.200607299804688,0.12767630815505981,0.7305284738540649
arithmetic_N4084_m8_Dc,1,19,21.200607299804688,0.12767630815505981,0.7305284738540649
arithmetic_N4084_m9_D0,1,1,16.751912752787273,0.3741124669710795,0.3607214043537776
arithmetic_N4084_m9_D0,1,4,20.524206161499023,0.12865633765856424,0.8784524202346802
arithmetic_N4084_m9_D0,1,7,20.524206161499023,0.12865634262561798,0.8784524202346802
arithmetic_N4084_m9_D0,1,13,20.524206161499023,0.12865633765856424,0.8784524202346802
arithmetic_N4084_m9_D0,1,19,20.524206161499023,0.12865633765856424,0.8784524202346802
arithmetic_N4084_m9_Dc,1,1,17.368380864461262,0.3657609323660533,0.3375450670719147
arithmetic_N4084_m9_Dc,1,4,21.61578941345215,0.11658566445112228,0.8231227993965149
arithmetic_N4084_m9_Dc,1,7,21.61578941345215,0.11658566445112228,0.8231229782104492
arithmetic_N4084_m9_Dc,1,13,21.61578941345215,0.11658566445112228,0.8231233358383179
arithmetic_N4084_m9_Dc,1,19,21.61578941345215,0.11658566445112228,0.8231233358383179
m8_D0,1,1,19.29023043314616,0.18093977868556976,0.723225732644399
m8_D0,1,4,20.23249626159668,0.13815292716026306,0.7056215405464172
m8_D0,1,7,20.23249626159668,0.13815292716026306,0.7056215405464172
m8_D0,1,13,20.23249626159668,0.13815292716026306,0.7056215405464172
m8_D0,1,19,20.23249626159668,0.13815292716026306,0.7056215405464172
m8_Dc_only,1,1,20.061453501383465,0.17583569884300232,0.7472337086995443
m8_Dc_only,1,4,21.200607299804688,0.12767630815505981,0.7305284738540649
m8_Dc_only,1,7,21.200607299804688,0.12767630815505981,0.7305284738540649
m8_Dc_only,1,13,21.200607299804688,0.12767630815505981,0.7305284738540649
m8_Dc_only,1,19,21.200607299804688,0.12767630815505981,0.7305284738540649
m8_plus_latent_1024,1,1,21.259042104085285,0.14733801782131195,0.7690781950950623
m8_plus_latent_1024,1,4,22.037160237630207,0.1028444195787112,0.8166883587837219
m8_plus_latent_1024,1,7,22.17642593383789,0.09830151995023091,0.8200581272443136
m8_plus_latent_1024,1,13,22.31024742126465,0.09421507269144058,0.8239390850067139
