method,source_index,snr_db,seed,mse,lpips_alex,normalized_latent,utility
full_tx_control,12,1.0,4101,0.013879306614398956,0.1139872819185257,0.5262962579727173,0.03054099902510643
full_tx_control,13,1.0,4101,0.008598566986620426,0.13736875355243683,0.7085273265838623,0.02942071668803692
full_tx_control,14,1.0,4101,0.010678610764443874,0.13280291855335236,0.5443549156188965,0.02940245158970356
full_tx_control,15,1.0,4101,0.0100559052079916,0.15287438035011292,0.4235340356826782,0.029578683897852898
light_tx,0,1.0,4101,0.008433959446847439,0.21048656105995178,0.6531051397323608,0.03601366654038429
light_tx,1,1.0,4101,0.012490775436162949,0.24180421233177185,0.7335532307624817,0.04400673136115074
light_tx,2,1.0,4101,0.006743729114532471,0.17233046889305115,0.49918755888938904,0.028968652710318565
light_tx,3,1.0,4101,0.0019082901999354362,0.1209293007850647,0.40033721923828125,0.01800459250807762
light_tx,4,1.0,4101,0.006682489067316055,0.18384340405464172,0.5047281980514526,0.03011411242187023
light_tx,5,1.0,4101,0.004296119324862957,0.12958091497421265,0.3327186703681946,0.020581398159265518
light_tx,6,1.0,4101,0.010364733636379242,0.19427303969860077,0.6047337055206299,0.035839375108480453
light_tx,7,1.0,4101,0.024436425417661667,0.30996841192245483,1.0288430452346802,0.06572169810533524
light_tx,8,1.0,4101,0.012643557041883469,0.19737942516803741,0.7871005535125732,0.040252503007650375
light_tx,9,1.0,4101,0.009073362685739994,0.2092680037021637,0.5131195187568665,0.035131361335515976
light_tx,10,1.0,4101,0.010178283788263798,0.17235365509986877,1.0333540439605713,0.03774718940258026
light_tx,11,1.0,4101,0.006563214119523764,0.1194143146276474,0.459408700466156,0.02309873327612877
light_tx,12,1.0,4101,0.010586737655103207,0.10801336169242859,0.5177260041236877,0.02656533382833004
light_tx,13,1.0,4101,0.008177464827895164,0.13141068816184998,0.7073679566383362,0.028392212465405464
light_tx,14,1.0,4101,0.010957643389701843,0.13733050227165222,0.5468482971191406,0.030159177258610725
light_tx,15,1.0,4101,0.009430780075490475,0.1397784948348999,0.4223172068595886,0.02763180062174797
pure_continuous,0,1.0,4102,0.006310722790658474,0.1553000807762146,0.5636391043663025,0.027477120980620384
pure_continuous,1,1.0,4102,0.010176142677664757,0.18739575147628784,0.606479287147522,0.03498050943017006
pure_continuous,2,1.0,4102,0.0054403855465352535,0.12203933298587799,0.4863653779029846,0.02250797301530838
pure_continuous,3,1.0,4102,0.0019830274395644665,0.11260166764259338,0.41090768575668335,0.01735227182507515
pure_continuous,4,1.0,4102,0.0045619867742061615,0.12024737149477005,0.48707979917526245,0.021457523107528687
pure_continuous,5,1.0,4102,0.002314043929800391,0.10517442226409912,0.373046875,0.016561955213546753
pure_continuous,6,1.0,4102,0.00815005786716938,0.17690441012382507,0.5491995811462402,0.03133249282836914
pure_continuous,7,1.0,4102,0.011521819978952408,0.16549676656723022,0.7894298434257507,0.03596579283475876
pure_continuous,8,1.0,4102,0.014553881250321865,0.22784900665283203,0.6784528493881226,0.04412331059575081
pure_continuous,9,1.0,4102,0.005303226411342621,0.1317029595375061,0.46539920568466187,0.023127514868974686
pure_continuous,10,1.0,4102,0.008229061029851437,0.15011152625083923,0.8825629353523254,0.03206584230065346
pure_continuous,11,1.0,4102,0.005090936552733183,0.10793738067150116,0.45082521438598633,0.020392928272485733
pure_continuous,12,1.0,4102,0.010464398190379143,0.11203618347644806,0.5160278081893921,0.02682829461991787
pure_continuous,13,1.0,4102,0.0075761545449495316,0.10912328958511353,0.6357927322387695,0.024846410378813744
pure_continuous,14,1.0,4102,0.011051064357161522,0.1436031311750412,0.5292309522628784,0.03070368804037571
pure_continuous,15,1.0,4102,0.00746733695268631,0.08521372079849243,0.4095236361026764,0.020083945244550705
full_tx_control,0,1.0,4102,0.015028096735477448,0.2523380219936371,0.6465036869049072,0.04672693833708763
full_tx_control,1,1.0,4102,0.011221940629184246,0.2009897083044052,0.6781834363937378,0.03810274600982666
full_tx_control,2,1.0,4102,0.006037126295268536,0.1560601145029068,0.47908663749694824,0.026434004306793213
full_tx_control,3,1.0,4102,0.007897095754742622,0.18287307024002075,0.44765007495880127,0.030660903081297874
full_tx_control,4,1.0,4102,0.019817663356661797,0.2856004238128662,0.575485348701477,0.05413256213068962
