method,source_index,snr_db,seed_keys,psnr_db,lpips_alex,dino_cosine
arithmetic_adaptive_m789_Dc,40,13.0,"2001,2002,2003",22.182846069335938,0.12835446496804556,0.9587705135345459
arithmetic_adaptive_m789_Dc,40,19.0,"2001,2002,2003",22.182846069335938,0.12835446993509927,0.9587705135345459
arithmetic_adaptive_m789_Dc,41,1.0,"2001,2002,2003",18.54948361714681,0.32810093959172565,0.6790050168832144
arithmetic_adaptive_m789_Dc,41,4.0,"2001,2002,2003",24.06426239013672,0.08467774838209152,0.9212570786476135
arithmetic_adaptive_m789_Dc,41,7.0,"2001,2002,2003",24.06426239013672,0.08467774838209152,0.9212570985158285
arithmetic_adaptive_m789_Dc,41,13.0,"2001,2002,2003",24.06426239013672,0.08467774838209152,0.9212571382522583
arithmetic_adaptive_m789_Dc,41,19.0,"2001,2002,2003",24.06426239013672,0.08467774838209152,0.9212571382522583
arithmetic_adaptive_m789_Dc,42,1.0,"2001,2002,2003",18.763256072998047,0.1731338749329249,0.9031088352203369
arithmetic_adaptive_m789_Dc,42,4.0,"2001,2002,2003",20.113197326660156,0.1239236369729042,0.9277769327163696
arithmetic_adaptive_m789_Dc,42,7.0,"2001,2002,2003",20.113197326660156,0.1239236369729042,0.9277769327163696
arithmetic_adaptive_m789_Dc,42,13.0,"2001,2002,2003",20.113197326660156,0.1239236369729042,0.9277769327163696
arithmetic_adaptive_m789_Dc,42,19.0,"2001,2002,2003",20.113197326660156,0.1239236369729042,0.9277769327163696
arithmetic_adaptive_m789_Dc,43,1.0,"2001,2002,2003",18.33812141418457,0.17407940328121185,0.8995487689971924
arithmetic_adaptive_m789_Dc,43,4.0,"2001,2002,2003",18.326327006022137,0.17818746964136759,0.8767325083414713
arithmetic_adaptive_m789_Dc,43,7.0,"2001,2002,2003",19.607479095458984,0.14066940546035767,0.9339773654937744
arithmetic_adaptive_m789_Dc,43,13.0,"2001,2002,2003",19.607479095458984,0.14066940546035767,0.9339773654937744
arithmetic_adaptive_m789_Dc,43,19.0,"2001,2002,2003",19.607479095458984,0.14066940546035767,0.9339773654937744
arithmetic_adaptive_m789_Dc,44,1.0,"2001,2002,2003",24.664810180664062,0.14054222404956818,0.8267931342124939
arithmetic_adaptive_m789_Dc,44,4.0,"2001,2002,2003",25.628738403320312,0.1163661852478981,0.8088012933731079
arithmetic_adaptive_m789_Dc,44,7.0,"2001,2002,2003",25.628738403320312,0.1163661852478981,0.8088012139002482
arithmetic_adaptive_m789_Dc,44,13.0,"2001,2002,2003",25.628738403320312,0.1163661852478981,0.8088010549545288
arithmetic_adaptive_m789_Dc,44,19.0,"2001,2002,2003",25.628738403320312,0.1163661852478981,0.8088010549545288
arithmetic_adaptive_m789_Dc,45,1.0,"2001,2002,2003",21.21112314860026,0.21724435687065125,0.842504064242045
arithmetic_adaptive_m789_Dc,45,4.0,"2001,2002,2003",22.11040496826172,0.19750619431336722,0.8400475978851318
arithmetic_adaptive_m789_Dc,45,7.0,"2001,2002,2003",23.966806411743164,0.13649927079677582,0.8812933365503947
arithmetic_adaptive_m789_Dc,45,13.0,"2001,2002,2003",23.966806411743164,0.13649926582972208,0.8812934160232544
arithmetic_adaptive_m789_Dc,45,19.0,"2001,2002,2003",23.966806411743164,0.13649926582972208,0.8812934160232544
