method,protocol,complex_uses,total_energy,scope,source_images,transmissions,psnr_db,psnr_db_ci_low,psnr_db_ci_high,ssim,ssim_ci_low,ssim_ci_high,lpips,lpips_ci_low,lpips_ci_high,dino,dino_ci_low,dino_ci_high
swin_ra32,common_paid_information,4498,8996,snr_1,100,300,24.360531082153326,23.55882549556097,25.121640241146075,0.6873093699415527,0.6592027476876976,0.7144395939211051,0.3204551990764836,0.29557254532709104,0.34617108884826286,0.5917784319072961,0.5581133483033626,0.6244580024691921
swin_ra32,common_paid_information,4498,8996,snr_4,100,300,26.10754652659098,25.34107079203923,26.849201259930933,0.7393108866612116,0.7142236843705178,0.7632916619703176,0.2745190222064654,0.25071546792627003,0.29929439962670845,0.7104358736673991,0.6840901100933549,0.7364493629535042
swin_ra32,common_paid_information,4498,8996,snr_7,100,300,27.169073123931884,26.393304696877802,27.917868120034534,0.7746781665086746,0.752257638971011,0.7963236687729753,0.23894873483727375,0.21663786883341768,0.2621743539351349,0.7703706763188043,0.7465385981226962,0.7935222543875378
swin_ra32,common_paid_information,4498,8996,snr_13,100,300,28.307627118428545,27.518385061422983,29.07240295124054,0.8106553518772125,0.7908073451469345,0.8297168363978464,0.20564402104976273,0.18478453585893526,0.22716138071908307,0.8239378901322684,0.8025099114080272,0.8438723363777006
swin_ra32,common_paid_information,4498,8996,snr_19,100,300,28.726233476003014,27.927299472331992,29.499561061700195,0.8222556461890538,0.8031121836404003,0.8406114333420989,0.2001347507815808,0.179494728277515,0.22154547378234565,0.8364873606959979,0.8155555192107954,0.8556195376565058
swin_ra32,common_paid_information,4498,8996,primary_1_4_7,100,900,25.879050244225397,25.103521600776254,26.63002428494559,0.7337661410371463,0.7086261820776594,0.7579401518139574,0.2779743187067409,0.2544345489582565,0.30243089816864166,0.6908616606311665,0.6640992399294758,0.7173719425518067
swin_ra32,common_paid_information,4498,8996,high_13_19,100,600,28.51693029721578,27.724633505423856,29.28413932641347,0.8164554990331332,0.796981358587742,0.8351218228141468,0.20288938591567177,0.18212228266867656,0.22439565914197984,0.8302126254141331,0.8091096966005861,0.8498109181399147
swin_ra64,author_assumed_information,8192,16384,snr_1,100,300,26.50409200668335,25.692914161841074,27.284452202637986,0.7596782826383908,0.7367135998408002,0.7818720623751481,0.21473483722036082,0.19666825267610455,0.23320095432239282,0.7747266319890816,0.7512652338892224,0.7971374383978549
swin_ra64,author_assumed_information,8192,16384,snr_4,100,300,28.095147647857665,27.28788012409209,28.874218484401695,0.8090994383891421,0.7900048009206851,0.827486074820161,0.1718392065105339,0.1554066765603299,0.1888086374498283,0.8494992234309514,0.8322486944794654,0.8658331417987746
swin_ra64,author_assumed_information,8192,16384,snr_7,100,300,29.26683503468831,28.456799690246587,30.053793152332304,0.8426918792724609,0.82662084471186,0.8581490530918042,0.1385252309963107,0.12440578334382735,0.15343527872456852,0.8926742120583853,0.8790601520041627,0.9050080485890308
swin_ra64,author_assumed_information,8192,16384,snr_13,100,300,30.689394861857096,29.873314685026806,31.48191748571396,0.876658533414205,0.8634290030548973,0.8893252424746756,0.10694264810997994,0.09476250766718293,0.11989196331306202,0.9274001536766688,0.9163187641551099,0.9367734729895991
swin_ra64,author_assumed_information,8192,16384,snr_19,100,300,31.2491930770874,30.42177007023495,32.057642786820736,0.8874929650624594,0.874927668735385,0.8993817874838906,0.10299185691867026,0.09106337207295777,0.11576185526322416,0.9327137655019762,0.9221275651703282,0.9417058618863421
swin_ra64,author_assumed_information,8192,16384,primary_1_4_7,100,900,27.955358229743112,27.14441615592109,28.738373804781155,0.803823200099998,0.7844921638982165,0.8224520820958755,0.17503309157573516,0.15884420510068428,0.1918456503132151,0.8389666891594727,0.8212713919824192,0.855720944530848
swin_ra64,author_assumed_information,8192,16384,high_13_19,100,600,30.969293969472247,30.149273463726036,31.765825165033345,0.8820757492383319,0.8691867583245039,0.8943632976735629,0.10496725251432508,0.0929181176494652,0.11781109883403408,0.9300569595893226,0.9192211405038834,0.9392012241706251
swin_ra64,common_paid_information,8754,17508,snr_1,100,300,26.50409200668335,25.692914161841074,27.284452202637986,0.7596782826383908,0.7367135998408002,0.7818720623751481,0.21473483722036082,0.19666825267610455,0.23320095432239282,0.7747266319890816,0.7512652338892224,0.7971374383978549
swin_ra64,common_paid_information,8754,17508,snr_4,100,300,28.095147647857665,27.28788012409209,28.874218484401695,0.8090994383891421,0.7900048009206851,0.827486074820161,0.1718392065105339,0.1554066765603299,0.1888086374498283,0.8494992234309514,0.8322486944794654,0.8658331417987746
swin_ra64,common_paid_information,8754,17508,snr_7,100,300,29.26683503468831,28.456799690246587,30.053793152332304,0.8426918792724609,0.82662084471186,0.8581490530918042,0.1385252309963107,0.12440578334382735,0.15343527872456852,0.8926742120583853,0.8790601520041627,0.9050080485890308
swin_ra64,common_paid_information,8754,17508,snr_13,100,300,30.689394861857096,29.873314685026806,31.48191748571396,0.876658533414205,0.8634290030548973,0.8893252424746756,0.10694264810997994,0.09476250766718293,0.11989196331306202,0.9274001536766688,0.9163187641551099,0.9367734729895991
swin_ra64,common_paid_information,8754,17508,snr_19,100,300,31.2491930770874,30.42177007023495,32.057642786820736,0.8874929650624594,0.874927668735385,0.8993817874838906,0.10299185691867026,0.09106337207295777,0.11576185526322416,0.9327137655019762,0.9221275651703282,0.9417058618863421
swin_ra64,common_paid_information,8754,17508,primary_1_4_7,100,900,27.955358229743112,27.14441615592109,28.738373804781155,0.803823200099998,0.7844921638982165,0.8224520820958755,0.17503309157573516,0.15884420510068428,0.1918456503132151,0.8389666891594727,0.8212713919824192,0.855720944530848
