method,source_index,image_id,snr_db,seed,N,E,header_ok,body_crc_ok,norm_control_ok,norm_code,enhancement_energy,psnr_db,lpips_alex,dino_cosine
residual,84,n04456115/ILSVRC2012_val_00002331_n04456115,13.0,2001,4084,8168,1,1,True,128,2047.9998779296875,22.328163146972656,0.1419922262430191,0.8331078886985779
source,84,n04456115/ILSVRC2012_val_00002331_n04456115,13.0,2002,4084,8168,1,1,True,136,2047.999755859375,22.336185455322266,0.14138904213905334,0.7939272522926331
residual,84,n04456115/ILSVRC2012_val_00002331_n04456115,13.0,2002,4084,8168,1,1,True,128,2047.9998779296875,22.342044830322266,0.14120857417583466,0.7916499376296997
source,84,n04456115/ILSVRC2012_val_00002331_n04456115,13.0,2003,4084,8168,1,1,True,136,2047.999755859375,22.316381454467773,0.1429535448551178,0.7842776775360107
residual,84,n04456115/ILSVRC2012_val_00002331_n04456115,13.0,2003,4084,8168,1,1,True,128,2047.9998779296875,22.32357406616211,0.14269475638866425,0.7822070717811584
source,84,n04456115/ILSVRC2012_val_00002331_n04456115,19.0,2001,4084,8168,1,1,True,136,2047.999755859375,22.374753952026367,0.14027388393878937,0.810366690158844
residual,84,n04456115/ILSVRC2012_val_00002331_n04456115,19.0,2001,4084,8168,1,1,True,128,2047.9998779296875,22.376689910888672,0.14022386074066162,0.8083539605140686
source,84,n04456115/ILSVRC2012_val_00002331_n04456115,19.0,2002,4084,8168,1,1,True,136,2047.999755859375,22.37751007080078,0.14017903804779053,0.775176465511322
residual,84,n04456115/ILSVRC2012_val_00002331_n04456115,19.0,2002,4084,8168,1,1,True,128,2047.9998779296875,22.378923416137695,0.14015133678913116,0.7743713855743408
source,84,n04456115/ILSVRC2012_val_00002331_n04456115,19.0,2003,4084,8168,1,1,True,136,2047.999755859375,22.36652183532715,0.14121666550636292,0.7706459760665894
residual,84,n04456115/ILSVRC2012_val_00002331_n04456115,19.0,2003,4084,8168,1,1,True,128,2047.9998779296875,22.368671417236328,0.14113570749759674,0.7701513767242432
source,85,n04485082/ILSVRC2012_val_00000955_n04485082,1.0,2001,4084,8168,1,0,True,130,2047.999755859375,16.009838104248047,0.3358098268508911,0.58978271484375
residual,85,n04485082/ILSVRC2012_val_00000955_n04485082,1.0,2001,4084,8168,1,0,True,119,2048.0,15.62155818939209,0.355901300907135,0.5214899778366089
source,85,n04485082/ILSVRC2012_val_00000955_n04485082,1.0,2002,4084,8168,1,0,True,130,2047.999755859375,17.501873016357422,0.2432001680135727,0.8838275671005249
residual,85,n04485082/ILSVRC2012_val_00000955_n04485082,1.0,2002,4084,8168,1,0,True,119,2048.0,17.228065490722656,0.2613789141178131,0.8765316009521484
source,85,n04485082/ILSVRC2012_val_00000955_n04485082,1.0,2003,4084,8168,1,0,True,130,2047.999755859375,17.317012786865234,0.25429394841194153,0.6960985660552979
residual,85,n04485082/ILSVRC2012_val_00000955_n04485082,1.0,2003,4084,8168,1,0,True,119,2048.0,16.943605422973633,0.26898664236068726,0.7260034084320068
source,85,n04485082/ILSVRC2012_val_00000955_n04485082,4.0,2001,4084,8168,1,1,True,130,2047.999755859375,20.78486442565918,0.13056650757789612,0.9553383588790894
residual,85,n04485082/ILSVRC2012_val_00000955_n04485082,4.0,2001,4084,8168,1,1,True,119,2048.0,20.852365493774414,0.1289258450269699,0.9566307663917542
source,85,n04485082/ILSVRC2012_val_00000955_n04485082,4.0,2002,4084,8168,1,1,True,130,2047.999755859375,20.78451919555664,0.12235889583826065,0.9605520963668823
residual,85,n04485082/ILSVRC2012_val_00000955_n04485082,4.0,2002,4084,8168,1,1,True,119,2048.0,20.856531143188477,0.12123233824968338,0.9611778259277344
source,85,n04485082/ILSVRC2012_val_00000955_n04485082,4.0,2003,4084,8168,1,1,True,130,2047.999755859375,20.631309509277344,0.12474548816680908,0.9549676179885864
residual,85,n04485082/ILSVRC2012_val_00000955_n04485082,4.0,2003,4084,8168,1,1,True,119,2048.0,20.712238311767578,0.12329454720020294,0.9558117985725403
source,85,n04485082/ILSVRC2012_val_00000955_n04485082,7.0,2001,4084,8168,1,1,True,130,2047.999755859375,21.112102508544922,0.12234239280223846,0.9590907096862793
residual,85,n04485082/ILSVRC2012_val_00000955_n04485082,7.0,2001,4084,8168,1,1,True,119,2048.0,21.161033630371094,0.12068755179643631,0.9599466323852539
source,85,n04485082/ILSVRC2012_val_00000955_n04485082,7.0,2002,4084,8168,1,1,True,130,2047.999755859375,21.125394821166992,0.1150326132774353,0.9614781737327576
residual,85,n04485082/ILSVRC2012_val_00000955_n04485082,7.0,2002,4084,8168,1,1,True,119,2048.0,21.173744201660156,0.11378573626279831,0.9621000289916992
source,85,n04485082/ILSVRC2012_val_00000955_n04485082,7.0,2003,4084,8168,1,1,True,130,2047.999755859375,20.977577209472656,0.11859828233718872,0.9588745832443237
residual,85,n04485082/ILSVRC2012_val_00000955_n04485082,7.0,2003,4084,8168,1,1,True,119,2048.0,21.0366268157959,0.11771966516971588,0.9598941206932068
source,85,n04485082/ILSVRC2012_val_00000955_n04485082,13.0,2001,4084,8168,1,1,True,130,2047.999755859375,21.42632484436035,0.11111412942409515,0.962363064289093
residual,85,n04485082/ILSVRC2012_val_00000955_n04485082,13.0,2001,4084,8168,1,1,True,119,2048.0,21.437793731689453,0.11074398458003998,0.962678074836731
source,85,n04485082/ILSVRC2012_val_00000955_n04485082,13.0,2002,4084,8168,1,1,True,130,2047.999755859375,21.427066802978516,0.10860796272754669,0.9638922810554504
residual,85,n04485082/ILSVRC2012_val_00000955_n04485082,13.0,2002,4084,8168,1,1,True,119,2048.0,21.438228607177734,0.10839385539293289,0.9642059803009033
source,85,n04485082/ILSVRC2012_val_00000955_n04485082,13.0,2003,4084,8168,1,1,True,130,2047.999755859375,21.3477783203125,0.11045019328594208,0.9623814225196838
residual,85,n04485082/ILSVRC2012_val_00000955_n04485082,13.0,2003,4084,8168,1,1,True,119,2048.0,21.3662052154541,0.11006572842597961,0.962883710861206
source,85,n04485082/ILSVRC2012_val_00000955_n04485082,19.0,2001,4084,8168,1,1,True,130,2047.999755859375,21.504653930664062,0.10870232433080673,0.964402437210083
residual,85,n04485082/ILSVRC2012_val_00000955_n04485082,19.0,2001,4084,8168,1,1,True,119,2048.0,21.504981994628906,0.10861951857805252,0.9646560549736023
source,85,n04485082/ILSVRC2012_val_00000955_n04485082,19.0,2002,4084,8168,1,1,True,130,2047.999755859375,21.504602432250977,0.10720740258693695,0.9654585123062134
residual,85,n04485082/ILSVRC2012_val_00000955_n04485082,19.0,2002,4084,8168,1,1,True,119,2048.0,21.505149841308594,0.10724382847547531,0.9656078219413757
source,85,n04485082/ILSVRC2012_val_00000955_n04485082,19.0,2003,4084,8168,1,1,True,130,2047.999755859375,21.463485717773438,0.10805608332157135,0.9649701118469238
residual,85,n04485082/ILSVRC2012_val_00000955_n04485082,19.0,2003,4084,8168,1,1,True,119,2048.0,21.467283248901367,0.10800430178642273,0.9651733636856079
source,86,n04515003/ILSVRC2012_val_00002400_n04515003,1.0,2001,4084,8168,1,0,True,101,2048.0,17.414039611816406,0.19341588020324707,0.9205582141876221
residual,86,n04515003/ILSVRC2012_val_00002400_n04515003,1.0,2001,4084,8168,1,0,True,82,2047.9998779296875,17.1503849029541,0.20862363278865814,0.9036866426467896
source,86,n04515003/ILSVRC2012_val_00002400_n04515003,1.0,2002,4084,8168,1,0,True,101,2048.0,21.566038131713867,0.15039169788360596,0.9473952651023865
