method,source_index,snr_db,seed,repeat,position,tx_ms,rx_ms,total_ms
light_tx,66,19.0,2001,0,2,11.000746046192944,113.09684801381081,124.09759406000376
full_tx_control,66,19.0,2001,1,0,111.05645005591214,113.33446006756276,224.3909101234749
light_tx,66,19.0,2001,1,1,10.972752934321761,113.57069900259376,124.54345193691552
pure_continuous,66,19.0,2001,1,2,7.395597058348358,11.205903021618724,18.60150007996708
light_tx,77,1.0,2001,0,0,10.93481108546257,113.82765008602291,124.76246117148548
pure_continuous,77,1.0,2001,0,1,7.4488610262051225,11.240774998441339,18.68963602464646
full_tx_control,77,1.0,2001,0,2,112.46960505377501,113.46697807312012,225.93658312689513
pure_continuous,77,1.0,2001,1,0,7.392417988739908,11.138717993162572,18.53113598190248
full_tx_control,77,1.0,2001,1,1,111.34544597007334,113.79628803115338,225.14173400122672
light_tx,77,1.0,2001,1,2,10.958109050989151,113.68883098475635,124.6469400357455
light_tx,77,4.0,2001,0,0,10.974679957143962,113.44254505820572,124.41722501534969
pure_continuous,77,4.0,2001,0,1,7.38898606505245,11.144278920255601,18.53326498530805
full_tx_control,77,4.0,2001,0,2,111.27930996008217,113.49509004503489,224.77440000511706
pure_continuous,77,4.0,2001,1,0,7.406344986520708,11.182629968971014,18.58897495549172
full_tx_control,77,4.0,2001,1,1,111.1157750710845,113.32666198723018,224.44243705831468
light_tx,77,4.0,2001,1,2,11.032088892534375,113.48540196195245,124.51749085448682
light_tx,77,7.0,2001,0,0,10.991145041771233,113.55158407241106,124.5427291141823
pure_continuous,77,7.0,2001,0,1,7.395662949420512,11.185758979991078,18.58142192941159
full_tx_control,77,7.0,2001,0,2,111.07812297996134,113.38843510020524,224.46655808016658
pure_continuous,77,7.0,2001,1,0,7.399321999400854,11.18228503037244,18.581607029773295
full_tx_control,77,7.0,2001,1,1,110.988705069758,113.34851197898388,224.33721704874188
light_tx,77,7.0,2001,1,2,10.978123056702316,114.59194996859878,125.5700730253011
light_tx,77,13.0,2001,0,0,10.982870939187706,113.30044094938785,124.28331188857555
pure_continuous,77,13.0,2001,0,1,7.398332003504038,11.154340929351747,18.552672932855785
full_tx_control,77,13.0,2001,0,2,110.79591303132474,113.307750900276,224.10366393160075
pure_continuous,77,13.0,2001,1,0,7.385400938801467,11.159088928252459,18.544489867053926
full_tx_control,77,13.0,2001,1,1,111.26087594311684,113.25753305573016,224.518408998847
light_tx,77,13.0,2001,1,2,10.947079979814589,113.31037699710578,124.25745697692037
light_tx,77,19.0,2001,0,0,10.90463309083134,113.20602102205157,124.11065411288291
pure_continuous,77,19.0,2001,0,1,7.391648949123919,11.147532961331308,18.539181910455227
full_tx_control,77,19.0,2001,0,2,111.03530100081116,113.3662851061672,224.40158610697836
pure_continuous,77,19.0,2001,1,0,7.40133598446846,11.158176930621266,18.559512915089726
full_tx_control,77,19.0,2001,1,1,110.9851070214063,113.6467820033431,224.6318890247494
light_tx,77,19.0,2001,1,2,10.945815010927618,113.42285596765578,124.3686709785834
full_tx_control,88,1.0,2001,0,0,110.9395029488951,113.30384504981339,224.2433479987085
light_tx,88,1.0,2001,0,1,10.92536502983421,113.43331192620099,124.3586769560352
pure_continuous,88,1.0,2001,0,2,7.381053059361875,11.209508054889739,18.590561114251614
light_tx,88,1.0,2001,1,0,10.93514310196042,113.2241350132972,124.15927811525762
pure_continuous,88,1.0,2001,1,1,7.395672029815614,11.187758995220065,18.58343102503568
full_tx_control,88,1.0,2001,1,2,111.2654129974544,113.31392102874815,224.57933402620256
full_tx_control,88,4.0,2001,0,0,110.92830903362483,113.55444800574332,224.48275703936815
light_tx,88,4.0,2001,0,1,10.962506989017129,113.16536599770188,124.12787298671901
pure_continuous,88,4.0,2001,0,2,7.395899039693177,11.156238964758813,18.55213800445199
light_tx,88,4.0,2001,1,0,10.975235956721008,113.45560196787119,124.4308379245922
pure_continuous,88,4.0,2001,1,1,7.417986053042114,11.162727954797447,18.58071400783956
full_tx_control,88,4.0,2001,1,2,111.280573066324,113.90914593357593,225.18971899989992
full_tx_control,88,7.0,2001,0,0,111.07173399068415,115.96863600425422,227.04036999493837
light_tx,88,7.0,2001,0,1,11.264035943895578,115.76456192415208,127.02859786804765
pure_continuous,88,7.0,2001,0,2,7.440757937729359,11.190454009920359,18.631211947649717
light_tx,88,7.0,2001,1,0,11.014310992322862,113.80328901577741,124.81760000810027
pure_continuous,88,7.0,2001,1,1,7.415693020448089,11.19986700359732,18.615560024045408
full_tx_control,88,7.0,2001,1,2,114.2071159556508,114.78766403160989,228.9947799872607
full_tx_control,88,13.0,2001,0,0,111.32061295211315,113.59123198781163,224.91184493992478
light_tx,88,13.0,2001,0,1,11.007135035470128,113.91848197672516,124.92561701219529
pure_continuous,88,13.0,2001,0,2,7.409114041365683,11.237765080295503,18.646879121661186
light_tx,88,13.0,2001,1,0,10.927635943517089,113.47539990674704,124.40303585026413
pure_continuous,88,13.0,2001,1,1,7.409502984955907,11.169944074936211,18.579447059892118
