source_index,image_id,snr_db,noise_seed,N,E,family,sent_mode,received_mode,header_ok,body_crc_ok,source_complete,payload_bits,arithmetic_length_field,source_error,candidate_key,method,psnr_db,lpips_alex,dino_cosine,renderer,policy,selected_mode,seed,preprocessing_id,seed_count,seed_keys,budget
11,n01943899/ILSVRC2012_val_00005706_n01943899,19.0,2001,3572,7144,arithmetic,9,9,1,1,1,4279,4279,,"('arithmetic', '1607f11311d3042125b7ff11f84e120551df2e314fc173fee3181b40add47b7d')",arithmetic_N3572_m9_D0,18.94344711303711,0.17179900407791138,0.9199231863021851,D0,goodput,9,2001,,3,"2001,2002,2003",3572
12,n01955084/ILSVRC2012_val_00001857_n01955084,1.0,2001,3572,7144,arithmetic,7,7,1,1,1,1596,1596,,"('arithmetic', 'daec1ede2ec50b29810bedcf8a07794450b060afc89ebdb848dacfce19c20fa9')",arithmetic_N3572_m7_D0,18.656696319580078,0.2984961271286011,0.888289213180542,D0,goodput,7,2001,,3,"2001,2002,2003",3572
12,n01955084/ILSVRC2012_val_00001857_n01955084,4.0,2001,3572,7144,arithmetic,9,9,1,0,1,4266,4266,,"('arithmetic', 'b7768cb83570be84fae4249f6b97414004adfb6a9697d70100835f27b52c4cfe')",arithmetic_N3572_m9_D0,18.946038246154785,0.27780720591545105,0.8566667636235555,D0,goodput,9,2001,,3,"2001,2002,2003",3572
12,n01955084/ILSVRC2012_val_00001857_n01955084,7.0,2001,3572,7144,arithmetic,9,9,1,1,1,4266,4266,,"('arithmetic', '1323b60a3bdf206a0c11bc07ac376807c813f7ba7ea68f2eb1552b03096e5998')",arithmetic_N3572_m9_D0,21.749895095825195,0.17431750893592834,0.9402333498001099,D0,goodput,9,2001,,3,"2001,2002,2003",3572
12,n01955084/ILSVRC2012_val_00001857_n01955084,13.0,2001,3572,7144,arithmetic,9,9,1,1,1,4266,4266,,"('arithmetic', '1323b60a3bdf206a0c11bc07ac376807c813f7ba7ea68f2eb1552b03096e5998')",arithmetic_N3572_m9_D0,21.749895095825195,0.17431750893592834,0.9402333498001099,D0,goodput,9,2001,,3,"2001,2002,2003",3572
12,n01955084/ILSVRC2012_val_00001857_n01955084,19.0,2001,3572,7144,arithmetic,9,9,1,1,1,4266,4266,,"('arithmetic', '1323b60a3bdf206a0c11bc07ac376807c813f7ba7ea68f2eb1552b03096e5998')",arithmetic_N3572_m9_D0,21.749895095825195,0.17431750893592834,0.9402333498001099,D0,goodput,9,2001,,3,"2001,2002,2003",3572
13,n01983481/ILSVRC2012_val_00019856_n01983481,1.0,2001,3572,7144,arithmetic,7,7,1,1,1,1615,1615,,"('arithmetic', 'c33e1a547836c9122dee227a33395b79fee81e024705d4f5543a3a710d700c85')",arithmetic_N3572_m7_D0,15.489664077758789,0.3121224343776703,0.8704050779342651,D0,goodput,7,2001,,3,"2001,2002,2003",3572
13,n01983481/ILSVRC2012_val_00019856_n01983481,4.0,2001,3572,7144,arithmetic,9,9,1,1,1,4279,4279,,"('arithmetic', '8695c0fc46217f789cbdd6b6e92b7b1418ab5609be45bfffa3537cd7aa89d125')",arithmetic_N3572_m9_D0,20.474977493286133,0.1688289443651835,0.922906756401062,D0,goodput,9,2001,,3,"2001,2002,2003",3572
13,n01983481/ILSVRC2012_val_00019856_n01983481,7.0,2001,3572,7144,arithmetic,9,9,1,1,1,4279,4279,,"('arithmetic', '8695c0fc46217f789cbdd6b6e92b7b1418ab5609be45bfffa3537cd7aa89d125')",arithmetic_N3572_m9_D0,20.474977493286133,0.1688289393981298,0.922906756401062,D0,goodput,9,2001,,3,"2001,2002,2003",3572
13,n01983481/ILSVRC2012_val_00019856_n01983481,13.0,2001,3572,7144,arithmetic,9,9,1,1,1,4279,4279,,"('arithmetic', '8695c0fc46217f789cbdd6b6e92b7b1418ab5609be45bfffa3537cd7aa89d125')",arithmetic_N3572_m9_D0,20.474977493286133,0.1688289393981298,0.922906756401062,D0,goodput,9,2001,,3,"2001,2002,2003",3572
