source_index,image_id,m,N,ND,NA,snr_db,seed,header_ok,header_crc_ok,decoded_mode,decoded_label,body_crc_ok,token_error_rate_including_erasure,prefix_error_normalized,base_error_normalized
10,n01530575/ILSVRC2012_val_00027374_n01530575,6,4084,1200,2816,1,4102,1,1,6,10,0,0.08791208791208792,0.034870125353336334,1.6007537841796875
10,n01530575/ILSVRC2012_val_00027374_n01530575,6,4084,1200,2816,1,4103,1,1,6,10,0,0.0989010989010989,0.06163204461336136,1.6485661268234253
10,n01530575/ILSVRC2012_val_00027374_n01530575,6,4084,1200,2816,4,4101,1,1,6,10,1,0.0,0.0,1.4953057765960693
10,n01530575/ILSVRC2012_val_00027374_n01530575,6,4084,1200,2816,4,4102,1,1,6,10,1,0.0,0.0,1.4953057765960693
10,n01530575/ILSVRC2012_val_00027374_n01530575,6,4084,1200,2816,4,4103,1,1,6,10,1,0.0,0.0,1.4953057765960693
10,n01530575/ILSVRC2012_val_00027374_n01530575,6,4084,1200,2816,7,4101,1,1,6,10,1,0.0,0.0,1.4953057765960693
10,n01530575/ILSVRC2012_val_00027374_n01530575,6,4084,1200,2816,7,4102,1,1,6,10,1,0.0,0.0,1.4953057765960693
10,n01530575/ILSVRC2012_val_00027374_n01530575,6,4084,1200,2816,7,4103,1,1,6,10,1,0.0,0.0,1.4953057765960693
10,n01530575/ILSVRC2012_val_00027374_n01530575,6,4084,1200,2816,13,4101,1,1,6,10,1,0.0,0.0,1.4953057765960693
10,n01530575/ILSVRC2012_val_00027374_n01530575,6,4084,1200,2816,13,4102,1,1,6,10,1,0.0,0.0,1.4953057765960693
10,n01530575/ILSVRC2012_val_00027374_n01530575,6,4084,1200,2816,13,4103,1,1,6,10,1,0.0,0.0,1.4953057765960693
10,n01530575/ILSVRC2012_val_00027374_n01530575,6,4084,1200,2816,19,4101,1,1,6,10,1,0.0,0.0,1.4953057765960693
10,n01530575/ILSVRC2012_val_00027374_n01530575,6,4084,1200,2816,19,4102,1,1,6,10,1,0.0,0.0,1.4953057765960693
10,n01530575/ILSVRC2012_val_00027374_n01530575,6,4084,1200,2816,19,4103,1,1,6,10,1,0.0,0.0,1.4953057765960693
11,n01531178/ILSVRC2012_val_00025888_n01531178,6,4084,1200,2816,1,4101,1,1,6,11,0,0.10989010989010989,0.017399610951542854,0.724945068359375
11,n01531178/ILSVRC2012_val_00025888_n01531178,6,4084,1200,2816,1,4102,1,1,6,11,0,0.054945054945054944,0.0795297771692276,0.8715698719024658
11,n01531178/ILSVRC2012_val_00025888_n01531178,6,4084,1200,2816,1,4103,1,1,6,11,0,0.054945054945054944,0.021945655345916748,0.7595208883285522
11,n01531178/ILSVRC2012_val_00025888_n01531178,6,4084,1200,2816,4,4101,1,1,6,11,1,0.0,0.0,0.6769776344299316
11,n01531178/ILSVRC2012_val_00025888_n01531178,6,4084,1200,2816,4,4102,1,1,6,11,1,0.0,0.0,0.6769776344299316
11,n01531178/ILSVRC2012_val_00025888_n01531178,6,4084,1200,2816,4,4103,1,1,6,11,1,0.0,0.0,0.6769776344299316
11,n01531178/ILSVRC2012_val_00025888_n01531178,6,4084,1200,2816,7,4101,1,1,6,11,1,0.0,0.0,0.6769776344299316
11,n01531178/ILSVRC2012_val_00025888_n01531178,6,4084,1200,2816,7,4102,1,1,6,11,1,0.0,0.0,0.6769776344299316
11,n01531178/ILSVRC2012_val_00025888_n01531178,6,4084,1200,2816,7,4103,1,1,6,11,1,0.0,0.0,0.6769776344299316
11,n01531178/ILSVRC2012_val_00025888_n01531178,6,4084,1200,2816,13,4101,1,1,6,11,1,0.0,0.0,0.6769776344299316
11,n01531178/ILSVRC2012_val_00025888_n01531178,6,4084,1200,2816,13,4102,1,1,6,11,1,0.0,0.0,0.6769776344299316
11,n01531178/ILSVRC2012_val_00025888_n01531178,6,4084,1200,2816,13,4103,1,1,6,11,1,0.0,0.0,0.6769776344299316
11,n01531178/ILSVRC2012_val_00025888_n01531178,6,4084,1200,2816,19,4101,1,1,6,11,1,0.0,0.0,0.6769776344299316
11,n01531178/ILSVRC2012_val_00025888_n01531178,6,4084,1200,2816,19,4102,1,1,6,11,1,0.0,0.0,0.6769776344299316
11,n01531178/ILSVRC2012_val_00025888_n01531178,6,4084,1200,2816,19,4103,1,1,6,11,1,0.0,0.0,0.6769776344299316
12,n01532829/ILSVRC2012_val_00030042_n01532829,6,4084,1200,2816,1,4101,1,1,6,12,0,0.06593406593406594,0.011262422427535057,0.7965714931488037
12,n01532829/ILSVRC2012_val_00030042_n01532829,6,4084,1200,2816,1,4102,1,1,6,12,0,0.08791208791208792,0.02710135653614998,0.8275724649429321
12,n01532829/ILSVRC2012_val_00030042_n01532829,6,4084,1200,2816,1,4103,1,1,6,12,0,0.08791208791208792,0.012664977461099625,0.8336318731307983
12,n01532829/ILSVRC2012_val_00030042_n01532829,6,4084,1200,2816,4,4101,1,1,6,12,1,0.0,0.0,0.7843250632286072
12,n01532829/ILSVRC2012_val_00030042_n01532829,6,4084,1200,2816,4,4102,1,1,6,12,1,0.0,0.0,0.7843250632286072
12,n01532829/ILSVRC2012_val_00030042_n01532829,6,4084,1200,2816,4,4103,1,1,6,12,1,0.0,0.0,0.7843250632286072
