method,source_index,image_id,snr_db,seed,N,E,psnr_db,lpips_alex,dino_cosine
m8_plus_latent_512_fold_N4084,8,n01843383/ILSVRC2012_val_00005901_n01843383,1.0,2003,4084,8168,16.376888275146484,0.19786153733730316,0.9106791019439697
m8_plus_latent_512_fold_N4084,8,n01843383/ILSVRC2012_val_00005901_n01843383,4.0,2001,4084,8168,16.94364356994629,0.19008998572826385,0.9366952776908875
m8_plus_latent_512_fold_N4084,8,n01843383/ILSVRC2012_val_00005901_n01843383,4.0,2002,4084,8168,16.851408004760742,0.18672260642051697,0.9201050996780396
m8_plus_latent_512_fold_N4084,8,n01843383/ILSVRC2012_val_00005901_n01843383,4.0,2003,4084,8168,16.807485580444336,0.1874074637889862,0.9313186407089233
m8_plus_latent_512_fold_N4084,8,n01843383/ILSVRC2012_val_00005901_n01843383,7.0,2001,4084,8168,17.109867095947266,0.18344080448150635,0.9361249804496765
m8_plus_latent_512_fold_N4084,8,n01843383/ILSVRC2012_val_00005901_n01843383,7.0,2002,4084,8168,17.007038116455078,0.1819494366645813,0.9248704314231873
m8_plus_latent_512_fold_N4084,8,n01843383/ILSVRC2012_val_00005901_n01843383,7.0,2003,4084,8168,16.9978084564209,0.18215492367744446,0.9325531721115112
m8_plus_latent_512_fold_N4084,8,n01843383/ILSVRC2012_val_00005901_n01843383,13.0,2001,4084,8168,17.260351181030273,0.1764977127313614,0.9350003004074097
m8_plus_latent_512_fold_N4084,8,n01843383/ILSVRC2012_val_00005901_n01843383,13.0,2002,4084,8168,17.180866241455078,0.1764412820339203,0.9304555654525757
m8_plus_latent_512_fold_N4084,8,n01843383/ILSVRC2012_val_00005901_n01843383,13.0,2003,4084,8168,17.193431854248047,0.17815127968788147,0.9325182437896729
m8_plus_latent_512_fold_N4084,8,n01843383/ILSVRC2012_val_00005901_n01843383,19.0,2001,4084,8168,17.294601440429688,0.172957643866539,0.9344046115875244
m8_plus_latent_512_fold_N4084,8,n01843383/ILSVRC2012_val_00005901_n01843383,19.0,2002,4084,8168,17.24687957763672,0.1745210587978363,0.9322082996368408
m8_plus_latent_512_fold_N4084,8,n01843383/ILSVRC2012_val_00005901_n01843383,19.0,2003,4084,8168,17.260332107543945,0.17577317357063293,0.9326568245887756
m8_plus_latent_512_fold_N4084,9,n01860187/ILSVRC2012_val_00021594_n01860187,1.0,2001,4084,8168,17.31367301940918,0.1918555498123169,0.8857337236404419
m8_plus_latent_512_fold_N4084,9,n01860187/ILSVRC2012_val_00021594_n01860187,1.0,2002,4084,8168,17.40999984741211,0.18768301606178284,0.8784072399139404
m8_plus_latent_512_fold_N4084,9,n01860187/ILSVRC2012_val_00021594_n01860187,1.0,2003,4084,8168,17.423688888549805,0.19513002038002014,0.8725290894508362
m8_plus_latent_512_fold_N4084,9,n01860187/ILSVRC2012_val_00021594_n01860187,4.0,2001,4084,8168,17.58213233947754,0.16627930104732513,0.8925777673721313
m8_plus_latent_512_fold_N4084,9,n01860187/ILSVRC2012_val_00021594_n01860187,4.0,2002,4084,8168,17.540441513061523,0.17481191456317902,0.8919366598129272
m8_plus_latent_512_fold_N4084,9,n01860187/ILSVRC2012_val_00021594_n01860187,4.0,2003,4084,8168,17.623767852783203,0.17232801020145416,0.8940340280532837
m8_plus_latent_512_fold_N4084,9,n01860187/ILSVRC2012_val_00021594_n01860187,7.0,2001,4084,8168,17.68044662475586,0.161385178565979,0.897252082824707
m8_plus_latent_512_fold_N4084,9,n01860187/ILSVRC2012_val_00021594_n01860187,7.0,2002,4084,8168,17.6669864654541,0.16896675527095795,0.8965767621994019
m8_plus_latent_512_fold_N4084,9,n01860187/ILSVRC2012_val_00021594_n01860187,7.0,2003,4084,8168,17.711320877075195,0.16608835756778717,0.895831286907196
m8_plus_latent_512_fold_N4084,9,n01860187/ILSVRC2012_val_00021594_n01860187,13.0,2001,4084,8168,17.777114868164062,0.15740419924259186,0.9013899564743042
m8_plus_latent_512_fold_N4084,9,n01860187/ILSVRC2012_val_00021594_n01860187,13.0,2002,4084,8168,17.78938865661621,0.1600591391324997,0.8974260091781616
m8_plus_latent_512_fold_N4084,9,n01860187/ILSVRC2012_val_00021594_n01860187,13.0,2003,4084,8168,17.799278259277344,0.16036559641361237,0.9017324447631836
m8_plus_latent_512_fold_N4084,9,n01860187/ILSVRC2012_val_00021594_n01860187,19.0,2001,4084,8168,17.8114070892334,0.15752330422401428,0.9017672538757324
m8_plus_latent_512_fold_N4084,9,n01860187/ILSVRC2012_val_00021594_n01860187,19.0,2002,4084,8168,17.82015609741211,0.15840859711170197,0.8991813063621521
m8_plus_latent_512_fold_N4084,9,n01860187/ILSVRC2012_val_00021594_n01860187,19.0,2003,4084,8168,17.824222564697266,0.15873800218105316,0.9021493196487427
m8_plus_latent_512_fold_N4084,10,n01882714/ILSVRC2012_val_00019996_n01882714,1.0,2001,4084,8168,19.12839698791504,0.1602528840303421,0.9422030448913574
m8_plus_latent_512_fold_N4084,10,n01882714/ILSVRC2012_val_00019996_n01882714,1.0,2002,4084,8168,19.373472213745117,0.15569615364074707,0.9452483057975769
m8_plus_latent_512_fold_N4084,10,n01882714/ILSVRC2012_val_00019996_n01882714,1.0,2003,4084,8168,19.307470321655273,0.1594582498073578,0.9318193197250366
m8_plus_latent_512_fold_N4084,10,n01882714/ILSVRC2012_val_00019996_n01882714,4.0,2001,4084,8168,19.65114974975586,0.14092500507831573,0.9422824382781982
m8_plus_latent_512_fold_N4084,10,n01882714/ILSVRC2012_val_00019996_n01882714,4.0,2002,4084,8168,19.609832763671875,0.14329387247562408,0.946100115776062
m8_plus_latent_512_fold_N4084,10,n01882714/ILSVRC2012_val_00019996_n01882714,4.0,2003,4084,8168,19.591218948364258,0.14145250618457794,0.949826180934906
m8_plus_latent_512_fold_N4084,10,n01882714/ILSVRC2012_val_00019996_n01882714,7.0,2001,4084,8168,19.834218978881836,0.13730695843696594,0.9461617469787598
m8_plus_latent_512_fold_N4084,10,n01882714/ILSVRC2012_val_00019996_n01882714,7.0,2002,4084,8168,19.790678024291992,0.13903452455997467,0.949158787727356
m8_plus_latent_512_fold_N4084,10,n01882714/ILSVRC2012_val_00019996_n01882714,7.0,2003,4084,8168,19.83121681213379,0.13694970309734344,0.9519323706626892
m8_plus_latent_512_fold_N4084,10,n01882714/ILSVRC2012_val_00019996_n01882714,13.0,2001,4084,8168,20.109909057617188,0.13275837898254395,0.9491643905639648
m8_plus_latent_512_fold_N4084,10,n01882714/ILSVRC2012_val_00019996_n01882714,13.0,2002,4084,8168,19.99189567565918,0.1335652619600296,0.9501818418502808
m8_plus_latent_512_fold_N4084,10,n01882714/ILSVRC2012_val_00019996_n01882714,13.0,2003,4084,8168,20.262128829956055,0.12992066144943237,0.9526690244674683
m8_plus_latent_512_fold_N4084,10,n01882714/ILSVRC2012_val_00019996_n01882714,19.0,2001,4084,8168,20.413217544555664,0.12814763188362122,0.9488041400909424
